,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12266,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1971,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12267,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1971,Female,Age85_over,[85+],0,0.0,0.0,0.0
12268,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1973,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12269,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1976,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12270,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1976,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12271,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1976,Female,Age85_over,[85+],0,0.0,0.0,0.0
12272,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1978,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12273,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1979,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12274,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1979,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12275,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1980,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12276,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1980,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12277,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1981,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12278,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1981,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12279,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1982,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12280,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1982,Female,Age80_84,[80-84],1,0.29325513,0.0,43.47826087
12281,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1983,Female,Age75_79,[75-79],1,0.25062657,0.0,20.0
12282,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,1983,Female,Age80_84,[80-84],1,0.27247956,0.0,43.47826087
12283,NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2015,Female,Age85_over,[85+],0,0.0,0.0,0.0
12284,OA,Oceania,AUS,Australia,2021,Female,Age85_over,[85+],29,0.07173601,0.0,8.91093064
12285,OA,Oceania,AUS,Australia,2016,Female,Age75_79,[75-79],28,0.37991859,0.0,8.16219446
12286,OA,Oceania,AUS,Australia,2015,Female,Age75_79,[75-79],21,0.2807862,0.0,6.31681536
12287,OA,Oceania,AUS,Australia,2015,Female,Age80_84,[80-84],17,0.15510949,0.0,6.79128
12288,OA,Oceania,AUS,Australia,2015,Female,Age85_over,[85+],18,0.04636069,0.0,6.05932075
12289,EU,Europe,AUT,Austria,2021,Female,Age80_84,[80-84],14,0.1826484,0.0,8.29069547
12290,EU,Europe,AUT,Austria,2021,Female,Age85_over,[85+],14,0.06050653,0.0,9.39017519
12291,EU,Europe,AUT,Austria,2015,Female,Age75_79,[75-79],21,0.50492907,0.0,11.60689118
12292,EU,Europe,AUT,Austria,2015,Female,Age80_84,[80-84],19,0.29489368,0.0,14.69019159
12293,EU,Europe,BEL,Belgium,2018,Female,Age75_79,[75-79],18,0.36014406,0.0,8.7090734
12294,EU,Europe,BEL,Belgium,2018,Female,Age80_84,[80-84],21,0.24472672,0.0,11.19379118
12295,EU,Europe,BEL,Belgium,2018,Female,Age85_over,[85+],23,0.0771372,0.0,10.5317142
12296,EU,Europe,BEL,Belgium,2017,Female,Age85_over,[85+],17,0.05840921,0.0,7.94177279
12297,EU,Europe,BGR,Bulgaria,2017,Female,Age75_79,[75-79],19,0.25178903,0.0,11.26586857
12298,EU,Europe,BGR,Bulgaria,2017,Female,Age80_84,[80-84],14,0.12226006,0.0,10.72550372
12299,EU,Europe,BGR,Bulgaria,2017,Female,Age85_over,[85+],18,0.1048218,0.0,20.33300951
12300,EU,Europe,BGR,Bulgaria,2016,Female,Age80_84,[80-84],16,0.14365236,0.0,12.24627254
12301,EU,Europe,BGR,Bulgaria,2016,Female,Age85_over,[85+],12,0.07363318,0.0,13.98324341
12302,CSA,Central and South America,BLZ,Belize,2015,Female,Age75_79,[75-79],0,0.0,0.0,0.0
