,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12440,AS,Asia,THA,Thailand,1979,Female,Age85_over,[85+],2,0.02987304,0.0,3.38506846
12441,AS,Asia,THA,Thailand,1981,Female,Age80_84,[80-84],2,0.02747253,0.0,1.86851276
12442,AS,Asia,THA,Thailand,1984,Female,Age80_84,[80-84],6,0.07670672,0.0,5.00513026
12443,AS,Asia,THA,Thailand,1985,Female,Age75_79,[75-79],10,0.11258726,0.0,4.48293794
12444,AS,Asia,THA,Thailand,1985,Female,Age85_over,[85+],1,0.01111358,0.0,1.32643587
12445,AS,Asia,THA,Thailand,1986,Female,Age80_84,[80-84],3,0.03477455,0.0,2.27078334
12446,AS,Asia,THA,Thailand,1987,Female,Age85_over,[85+],3,0.02696872,0.0,3.33670712
12447,AS,Asia,THA,Thailand,1990,Female,Age75_79,[75-79],10,0.09358914,0.0,3.92450816
12448,AS,Asia,THA,Thailand,1990,Female,Age85_over,[85+],4,0.0306443,0.0,3.86858419
12449,AS,Asia,THA,Thailand,1991,Female,Age75_79,[75-79],8,0.06972893,0.0,3.07946956
12450,AS,Asia,THA,Thailand,1991,Female,Age85_over,[85+],6,0.0416262,0.0,5.36447111
12451,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2008,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12452,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2008,Female,Age80_84,[80-84],1,0.20408163,0.0,13.93922498
12453,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2008,Female,Age85_over,[85+],0,0.0,0.0,0.0
12454,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2009,Female,Age85_over,[85+],0,0.0,0.0,0.0
12455,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age80_84,[80-84],1,0.2020202,0.0,13.22926313
12456,NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age85_over,[85+],0,0.0,0.0,0.0
12457,AS,Asia,TUR,T?rkiye,2012,Female,Age75_79,[75-79],10,0.04456328,0.0,1.61449298
12458,AS,Asia,TUR,T?rkiye,2012,Female,Age80_84,[80-84],6,0.02134927,0.0,1.3557836
12459,AS,Asia,TUR,T?rkiye,2013,Female,Age75_79,[75-79],13,0.05672645,0.0,2.11002823
12460,AS,Asia,TUR,T?rkiye,2013,Female,Age80_84,[80-84],10,0.03160456,0.0,2.12666638
12461,AS,Asia,TUR,T?rkiye,2013,Female,Age85_over,[85+],6,0.01566334,0.0,2.0853209
